,Female,Male,Total
Acton,4,1,5
Arlington,2,1,3
Ashby,0,1,1
Ashland,29,0,29
Ayer,0,1,1
Bedford,1,6,7
Belmont,3,1,4
Billerica,4,4,8
Boxborough,0,1,1
Burlington,1,0,1
Cambridge,10,17,27
Chelmsford,1,0,1
Dracut,2,4,6
Everett,4,13,17
Framingham,18,19,37
Holliston,1,0,1
Hopkinton,11,0,11
Hudson,2,2,4
Littleton,1,3,4
Lowell,18,28,46
Malden,9,14,23
Marlborough,6,1,7
Maynard,2,4,6
Medford,5,3,8
Melrose,1,3,4
Newton,2,0,2
North Reading,0,1,1
Pepperell,2,1,3
Reading,0,1,1
Shirley,1,0,1
Somerville,8,12,20
Stoneham,0,2,2
Sudbury,1,0,1
Tewksbury,2,2,4
Townsend,1,0,1
Wakefield,3,2,5
Waltham,2,6,8
Watertown,2,1,3
Wayland,2,0,2
Wilmington,0,1,1
Winchester,2,0,2
Woburn,3,5,8
Total,166,161,327
